#,Company,Symbol,Weight,      Price,Chg,% Chg
120,Autodesk Inc.,ADSK,0.192923,   259.41,3.49,-1.36%
121,U.S. Bancorp,USB,0.190572,   39.58,-0.88,(-2.18%)
122,Marsh & McLennan Companies Inc.,MMC,0.188741,   109.56,1.16,-1.07%
123,Newmont Corporation,NEM,0.187225,   68.15,0.3,-0.44%
124,Dollar General Corporation,DG,0.186622,   221.40,3.39,-1.55%
125,CME Group Inc. Class A,CME,0.184846,   151.00,0.55,-0.37%
126,Estee Lauder Companies Inc. Class A,EL,0.183536,   238.64,1.78,-0.75%
127,Global Payments Inc.,GPN,0.179537,   173.88,-0.36,(-0.21%)
128,Biogen Inc.,BIIB,0.178999,   329.01,0.11,-0.03%
129,Boston Scientific Corporation,BSX,0.173448,   35.70,0.49,-1.39%
130,PNC Financial Services Group Inc.,PNC,0.170908,   114.68,-2.49,(-2.13%)
131,Ecolab Inc.,ECL,0.167424,   203.00,6.58,-3.35%
132,Edwards Lifesciences Corporation,EW,0.165891,   78.03,0.48,-0.62%
133,Analog Devices Inc.,ADI,0.164688,   133.50,3.1,-2.38%
134,Northrop Grumman Corporation,NOC,0.163848,   301.36,-6.04,(-1.96%)
135,Moody's Corporation,MCO,0.161436,   266.61,-24.45,(-8.40%)
136,General Motors Company,GM,0.16027,   37.47,0.33,-0.89%
137,Waste Management Inc.,WM,0.16009,   119.28,-0.41,(-0.34%)
138,Kimberly-Clark Corporation,KMB,0.157406,   136.99,2.67,-1.99%
139,Illumina Inc.,ILMN,0.156385,   308.16,-3.56,(-1.14%)
140,American Electric Power Company Inc.,AEP,0.15365,   91.16,0.45,-0.49%
141,DuPont de Nemours Inc.,DD,0.15182,   59.93,-0.26,(-0.43%)
142,Eaton Corp. Plc,ETN,0.150965,   109.96,0.15,-0.14%
143,Aon Plc Class A,AON,0.147631,   190.35,4.97,-2.68%
144,Emerson Electric Co.,EMR,0.144703,   70.12,-0.35,(-0.50%)
145,Exelon Corporation,EXC,0.14352,   42.85,-0.22,(-0.51%)
146,Cognizant Technology Solutions Corporation Class A,CTSH,0.138369,   74.22,-0.02,(-0.03%)
147,Roper Technologies Inc.,ROP,0.137481,   388.42,2.42,-0.63%
148,IDEXX Laboratories Inc.,IDXX,0.136762,   480.96,12.99,-2.78%
149,Digital Realty Trust Inc.,DLR,0.136458,   146.68,-0.83,(-0.56%)
150,Centene Corporation,CNC,0.135444,   67.93,0.05,-0.07%
151,Baxter International Inc.,BAX,0.135305,   78.93,1.17,-1.50%
152,L3Harris Technologies Inc,LHX,0.134746,   178.94,-2.1,(-1.16%)
153,Xcel Energy Inc.,XEL,0.132485,   73.55,-0.18,(-0.24%)
154,Electronic Arts Inc.,EA,0.127389,   119.19,-9.14,(-7.12%)
155,Sempra Energy,SRE,0.12629,   125.00,-2.01,(-1.58%)
156,Chipotle Mexican Grill Inc.,CMG,0.125932,"   1,326.18",15.86,-1.21%
157,General Mills Inc.,GIS,0.125492,   61.29,0.73,-1.21%
158,Synopsys Inc.,SNPS,0.125067,   241.78,1.22,-0.51%
159,HCA Healthcare Inc,HCA,0.1248,   138.50,0.94,-0.68%
160,Dow Inc.,DOW,0.124524,   48.25,-0.72,(-1.47%)
161,Capital One Financial Corporation,COF,0.12354,   77.77,-0.93,(-1.18%)
162,KLA Corporation,KLAC,0.121918,   231.68,3.58,-1.57%
163,Amphenol Corporation Class A,APH,0.121426,   120.34,0.88,-0.74%
164,Align Technology Inc.,ALGN,0.121267,   478.40,-13.51,(-2.75%)
165,Public Storage,PSA,0.120601,   231.33,0.67,-0.29%
166,MSCI Inc. Class A,MSCI,0.120122,   421.15,3.42,-0.82%
167,Cadence Design Systems Inc.,CDNS,0.119303,   126.37,2.3,-1.85%
168,TE Connectivity Ltd.,TEL,0.118884,   105.08,0.3,-0.29%
169,Twitter Inc.,TWTR,0.118225,   43.15,-0.56,(-1.28%)
170,SBA Communications Corp. Class A,SBAC,0.117624,   306.62,0.8,-0.26%
171,Agilent Technologies Inc.,A,0.117304,   112.54,2.2,-1.99%
172,DexCom Inc.,DXCM,0.116854,   362.00,6.89,-1.94%
173,Cummins Inc.,CMI,0.116772,   229.05,-0.52,(-0.23%)
174,Ross Stores Inc.,ROST,0.116301,   93.86,-1.08,(-1.14%)
175,Trane Technologies plc,TT,0.116232,   144.32,3.2,-2.27%
176,O'Reilly Automotive Inc.,ORLY,0.114538,   448.51,-1.6,(-0.36%)
177,IHS Markit Ltd.,INFO,0.113186,   88.50,0.23,-0.26%
178,IQVIA Holdings Inc,IQV,0.112899,   171.44,-0.27,(-0.16%)
179,eBay Inc.,EBAY,0.112508,   50.40,0.99,-2.00%
180,PPG Industries Inc.,PPG,0.112014,   139.39,1.13,-0.82%
181,Johnson Controls International plc,JCI,0.111525,   43.74,0.26,-0.60%
182,ConocoPhillips,COP,0.111378,   29.16,-0.96,(-3.19%)
183,Travelers Companies Inc.,TRV,0.11113,   127.00,-0.51,(-0.40%)
184,General Dynamics Corporation,GD,0.111125,   137.25,-1.9,(-1.37%)
185,WEC Energy Group Inc,WEC,0.109349,   102.36,0.76,-0.75%
186,Ball Corporation,BLL,0.109278,   97.46,0.3,-0.31%
187,MetLife Inc.,MET,0.109081,   40.48,-0.65,(-1.58%)
188,Xilinx Inc.,XLNX,0.108929,   134.12,4.19,-3.22%
189,Verisk Analytics Inc,VRSK,0.108829,   197.00,2.59,-1.33%
190,T. Rowe Price Group,TROW,0.107147,   133.74,-3.64,(-2.65%)
191,PACCAR Inc,PCAR,0.107002,   90.09,-0.52,(-0.57%)
192,Ford Motor Company,F,0.10695,   7.79,-0.2,(-2.50%)
193,Eversource Energy,ES,0.106905,   92.78,0.58,-0.63%
194,Carrier Global Corp.,CARR,0.106649,   38.90,0.7,-1.83%
195,Sysco Corporation,SYY,0.106362,   61.00,0.17,-0.28%
196,Monster Beverage Corporation,MNST,0.106195,   83.26,-0.42,(-0.50%)
197,Constellation Brands Inc. Class A,STZ,0.10524,   185.78,2.3,-1.25%
198,Parker-Hannifin Corporation,PH,0.104754,   237.56,-0.42,(-0.18%)
199,Yum! Brands Inc.,YUM,0.104386,   99.38,-1.32,(-1.31%)
200,ResMed Inc.,RMD,0.104098,   214.00,1.19,-0.56%
201,Microchip Technology Incorporated,MCHP,0.102728,   125.28,6.9,-5.83%
202,Public Service Enterprise Group Inc,PEG,0.101426,   58.42,-0.37,(-0.63%)
203,Cintas Corporation,CTAS,0.101352,   340.93,1.86,-0.55%
204,Rockwell Automation Inc.,ROK,0.099091,   249.44,-0.86,(-0.34%)
205,American International Group Inc.,AIG,0.098951,   33.16,-0.27,(-0.81%)
206,Bank of New York Mellon Corporation,BK,0.098876,   35.07,-0.53,(-1.49%)
207,Zimmer Biomet Holdings Inc.,ZBH,0.098273,   138.52,-0.83,(-0.60%)
208,American Water Works Company Inc.,AWK,0.097732,   161.13,2.92,-1.85%
209,Stanley Black & Decker Inc.,SWK,0.097614,   178.85,1.02,-0.57%
210,Aptiv PLC,APTV,0.097266,   104.48,-0.3,(-0.29%)
211,Allstate Corporation,ALL,0.097056,   91.15,0.74,-0.82%
212,TransDigm Group Incorporated,TDG,0.096721,   520.46,1.17,-0.23%
213,ANSYS Inc.,ANSS,0.096335,   336.80,8.45,-2.57%
214,Best Buy Co. Inc.,BBY,0.096324,   123.97,0.91,-0.74%
215,McKesson Corporation,MCK,0.094715,   170.92,-0.03,(-0.02%)
216,Paychex Inc.,PAYX,0.094592,   88.02,1.42,-1.64%
217,Alexion Pharmaceuticals Inc.,ALXN,0.094499,   125.48,0.04,-0.03%
218,Motorola Solutions Inc.,MSI,0.093839,   164.73,3.88,-2.41%
219,Freeport-McMoRan Inc.,FCX,0.093681,   19.10,0.28,-1.49%
220,Walgreens Boots Alliance Inc,WBA,0.092791,   37.25,-0.28,(-0.75%)
221,AutoZone Inc.,AZO,0.092507,"   1,158.53",9.02,-0.78%
222,Marriott International Inc. Class A,MAR,0.09225,   104.16,3.25,-3.22%
223,Clorox Company,CLX,0.091642,   218.00,5.02,-2.36%
224,Archer-Daniels-Midland Company,ADM,0.091402,   48.27,0.36,-0.75%
225,Mettler-Toledo International Inc.,MTD,0.091039,"   1,181.11",77.37,-7.01%
226,Consolidated Edison Inc.,ED,0.090942,   77.80,-1.93,(-2.42%)
227,Fastenal Company,FAST,0.090624,   46.98,0.64,-1.38%
228,HP Inc.,HPQ,0.090322,   19.25,0.12,-0.63%
229,Corning Inc,GLW,0.09021,   34.76,0.27,-0.78%
230,Hilton Worldwide Holdings Inc,HLT,0.089679,   92.84,-1.24,(-1.32%)
231,Prudential Financial Inc.,PRU,0.088767,   64.62,-0.75,(-1.15%)
232,Kroger Co.,KR,0.087497,   33.17,0.45,-1.38%
233,Copart Inc.,CPRT,0.087234,   123.72,-0.23,(-0.19%)
234,Corteva Inc,CTVA,0.087076,   33.70,-0.24,(-0.71%)
235,Otis Worldwide Corporation,OTIS,0.087053,   63.58,0.95,-1.52%
236,Skyworks Solutions Inc.,SWKS,0.085766,   146.75,-2.37,(-1.59%)
237,Aflac Incorporated,AFL,0.084781,   36.90,-0.3,(-0.81%)
238,AMETEK Inc.,AME,0.084738,   110.32,1.27,-1.16%
239,Southwest Airlines Co.,LUV,0.083236,   40.19,-0.86,(-2.10%)
240,D.R. Horton Inc.,DHI,0.082952,   70.95,-1.96,(-2.69%)
241,DTE Energy Company,DTE,0.082366,   123.86,-1.27,(-1.01%)
242,Willis Towers Watson Public Limited Company,WLTW,0.082309,   191.50,4.78,-2.56%
243,Welltower Inc.,WELL,0.081837,   55.50,-1.35,(-2.37%)
244,Kinder Morgan Inc Class P,KMI,0.079088,   11.51,-0.39,(-3.28%)
245,Williams Companies Inc.,WMB,0.078979,   18.26,-0.85,(-4.45%)
246,McCormick & Company Incorporated,MKC,0.078866,   188.66,0.12,-0.06%
247,Fortive Corp.,FTV,0.078729,   68.37,0.42,-0.62%
248,V.F. Corporation,VFC,0.07854,   70.01,-1.43,(-2.00%)
249,Edison International,EIX,0.077386,   58.32,-1.06,(-1.79%)
250,Dollar Tree Inc.,DLTR,0.07727,   95.58,0.48,-0.50%
251,State Street Corporation,STT,0.076244,   62.23,-0.6,(-0.95%)
252,Cerner Corporation,CERN,0.075965,   72.81,0.41,-0.57%
253,Church & Dwight Co. Inc.,CHD,0.075558,   90.50,0.47,-0.52%
254,MarketAxess Holdings Inc.,MKTX,0.075102,   579.18,-1.99,(-0.34%)
255,West Pharmaceutical Services Inc.,WST,0.074866,   295.80,0.78,-0.26%
256,Lennar Corporation Class A,LEN,0.074314,   75.59,-3.13,(-3.98%)
257,PPL Corporation,PPL,0.074047,   27.55,-0.51,(-1.82%)
258,First Republic Bank,FRC,0.073763,   129.77,2.05,-1.61%
259,Schlumberger NV,SLB,0.073664,   15.34,-0.18,(-1.15%)
260,Hershey Company,HSY,0.073546,   149.37,4.77,-3.30%
261,Weyerhaeuser Company,WY,0.07321,   28.28,-0.52,(-1.81%)
262,Entergy Corporation,ETR,0.072931,   104.91,-1.91,(-1.79%)
263,Phillips 66,PSX,0.072533,   46.66,-1.53,(-3.17%)
264,VeriSign Inc.,VRSN,0.072368,   206.98,-1.34,(-0.64%)
265,Discover Financial Services,DFS,0.072158,   67.91,-0.59,(-0.86%)
266,Arthur J. Gallagher & Co.,AJG,0.07175,   110.51,0.74,-0.67%
267,Maxim Integrated Products Inc.,MXIM,0.071452,   79.48,1.59,-2.04%
268,Ameriprise Financial Inc.,AMP,0.071403,   169.78,-2.91,(-1.69%)
269,Laboratory Corporation of America Holdings,LH,0.071382,   213.93,-0.49,(-0.23%)
270,Keysight Technologies Inc,KEYS,0.071314,   112.97,1.84,-1.66%
271,EOG Resources Inc.,EOG,0.071025,   34.58,-1.02,(-2.87%)
272,AvalonBay Communities Inc.,AVB,0.070909,   147.95,-0.29,(-0.20%)
273,Marathon Petroleum Corporation,MPC,0.070864,   31.58,-0.25,(-0.79%)
274,Kraft Heinz Company,KHC,0.070607,   31.44,-0.26,(-0.82%)
275,Delta Air Lines Inc.,DAL,0.070124,   31.39,-0.59,(-1.84%)
276,FLEETCOR Technologies Inc.,FLT,0.069299,   232.11,-7.89,(-3.29%)
277,Republic Services Inc.,RSG,0.069003,   97.08,1.57,-1.64%
278,Ameren Corporation,AEE,0.06882,   81.85,-0.62,(-0.75%)
279,Realty Income Corporation,O,0.068351,   58.14,0.14,-0.24%
280,Hologic Inc.,HOLX,0.068231,   75.05,-1.62,(-2.11%)
281,CDW Corp.,CDW,0.067739,   138.05,-0.13,(-0.09%)
